"AB10","Aberdeen",57.13,-2.11
"AB11","Aberdeen",57.13,-2.09
"AB12","Aberdeen",57.10,-2.11
"AB13","Aberdeen",57.10,-2.23
"AB14","Aberdeen",57.10,-2.27
"AB15","Aberdeen",57.13,-2.16
"AB16","Aberdeen",57.16,-2.15
"AB21","Aberdeen",57.21,-2.20
"AB22","Aberdeen",57.18,-2.11
"AB23","Aberdeen",57.21,-2.08
"AB25","Aberdeen",57.15,-2.11
"AB30","Aberdeen",56.84,-2.47
"AB31","Aberdeen",57.07,-2.52
"AB32","Aberdeen",57.15,-2.31
"AB33","Aberdeen",57.22,-2.74
"AB34","Aberdeen",57.09,-2.81
"AB35","Aberdeen",57.03,-3.14
"AB36","Aberdeen",57.19,-3.06
"AB37","Aberdeen",57.33,-3.35
"AB38","Aberdeen",57.48,-3.22
"AB39","Aberdeen",56.97,-2.21
"AB41","Aberdeen",57.37,-2.10
"AB42","Aberdeen",57.50,-1.88
"AB43","Aberdeen",57.65,-2.04
"AB44","Aberdeen",57.66,-2.49
"AB45","Aberdeen",57.65,-2.56
"AB51","Aberdeen",57.28,-2.40
"AB52","Aberdeen",57.34,-2.60
"AB53","Aberdeen",57.52,-2.39
"AB54","Aberdeen",57.45,-2.76
"AB55","Aberdeen",57.52,-2.99
"AB56","Aberdeen",57.67,-2.92
"AL1","St. Albans",51.74,-0.32
"AL10","St. Albans",51.76,-0.23
"AL2","St. Albans",51.72,-0.33
"AL3","St. Albans",51.77,-0.37
"AL4","St. Albans",51.77,-0.29
"AL5","St. Albans",51.81,-0.35
"AL6","St. Albans",51.83,-0.19
"AL7","St. Albans",51.79,-0.18
"AL8","St. Albans",51.80,-0.20
"AL9","St. Albans",51.74,-0.19
"B1","Birmingham",52.47,-1.90
"B10","Birmingham",52.47,-1.85
"B11","Birmingham",52.45,-1.85
"B12","Birmingham",52.46,-1.88
"B13","Birmingham",52.43,-1.87
"B14","Birmingham",52.41,-1.88
"B15","Birmingham",52.46,-1.92
"B16","Birmingham",52.47,-1.93
"B17","Birmingham",52.46,-1.96
"B18","Birmingham",52.49,-1.92
"B19","Birmingham",52.49,-1.90
"B2","Birmingham",52.47,-1.89
"B20","Birmingham",52.51,-1.91
"B21","Birmingham",52.50,-1.93
"B23","Birmingham",52.52,-1.85
"B24","Birmingham",52.51,-1.82
"B25","Birmingham",52.46,-1.82
"B26","Birmingham",52.46,-1.79
"B27","Birmingham",52.44,-1.82
"B28","Birmingham",52.42,-1.84
"B29","Birmingham",52.43,-1.94
"B3","Birmingham",52.48,-1.90
"B30","Birmingham",52.42,-1.92
"B31","Birmingham",52.40,-1.97
"B32","Birmingham",52.44,-1.99
"B33","Birmingham",52.48,-1.78
"B34","Birmingham",52.49,-1.78
"B35","Birmingham",52.51,-1.78
"B36","Birmingham",52.50,-1.77
"B37","Birmingham",52.47,-1.74
"B38","Birmingham",52.40,-1.93
"B4","Birmingham",52.48,-1.89
"B40","Birmingham",52.45,-1.72
"B42","Birmingham",52.53,-1.91
"B43","Birmingham",52.54,-1.92
"B44","Birmingham",52.54,-1.88
"B45","Birmingham",52.38,-2.00
"B46","Birmingham",52.50,-1.69
"B47","Birmingham",52.38,-1.88
"B48","Birmingham",52.35,-1.94
"B49","Birmingham",52.21,-1.86
"B5","Birmingham",52.47,-1.89
"B50","Birmingham",52.16,-1.85
"B6","Birmingham",52.50,-1.88
"B60","Birmingham",52.32,-2.04
"B61","Birmingham",52.34,-2.06
"B62","Birmingham",52.45,-2.03
"B63","Birmingham",52.45,-2.06
"B64","Birmingham",52.47,-2.06
"B65","Birmingham",52.48,-2.04
"B66","Birmingham",52.49,-1.96
"B67","Birmingham",52.48,-1.97
"B68","Birmingham",52.47,-2.00
"B69","Birmingham",52.50,-2.02
"B7","Birmingham",52.49,-1.87
"B70","Birmingham",52.52,-2.00
"B71","Birmingham",52.53,-1.98
"B72","Birmingham",52.55,-1.82
"B73","Birmingham",52.55,-1.84
"B74","Birmingham",52.58,-1.85
"B75","Birmingham",52.57,-1.80
"B76","Birmingham",52.54,-1.78
"B77","Birmingham",52.61,-1.66
"B78","Birmingham",52.60,-1.67
