copy dev.tpostcode (postcode_1,name,lat,long) from postcode.dat with delimited as ','


"postcode","district","x","y","latitude","longitude"
"AB10","Aberdeen",392900,804900,57.13,-2.11
"AB11","Aberdeen",394500,805300,57.13,-2.09
"AB12","Aberdeen",393300,801100,57.10,-2.11
"AB13","Aberdeen",385600,801900,57.10,-2.23
"AB14","Aberdeen",383600,801100,57.10,-2.27
"AB15","Aberdeen",390000,805300,57.13,-2.16
"AB16","Aberdeen",390600,807800,57.16,-2.15
"AB21","Aberdeen",387900,813200,57.21,-2.20
"AB22","Aberdeen",392800,810700,57.18,-2.11
"AB23","Aberdeen",394700,813500,57.21,-2.08
"AB25","Aberdeen",393200,806900,57.15,-2.11
"AB30","Aberdeen",370900,772900,56.84,-2.47
"AB31","Aberdeen",368100,798300,57.07,-2.52
"AB32","Aberdeen",380800,807200,57.15,-2.31
"AB33","Aberdeen",355200,815100,57.22,-2.74
"AB34","Aberdeen",350800,800600,57.09,-2.81
"AB35","Aberdeen",330300,794700,57.03,-3.14
"AB36","Aberdeen",335600,812300,57.19,-3.06
"AB37","Aberdeen",318700,827500,57.33,-3.35
"AB38","Aberdeen",326500,844600,57.48,-3.22
"AB39","Aberdeen",386800,787400,56.97,-2.21
"AB41","Aberdeen",393700,831700,57.37,-2.10
"AB42","Aberdeen",406700,845600,57.50,-1.88
"AB43","Aberdeen",397400,863000,57.65,-2.04
"AB44","Aberdeen",370700,864400,57.66,-2.49
"AB45","Aberdeen",366200,862500,57.65,-2.56
"AB51","Aberdeen",375600,822100,57.28,-2.40
"AB52","Aberdeen",363500,828300,57.34,-2.60
"AB53","Aberdeen",376400,848400,57.52,-2.39
"AB54","Aberdeen",354200,840600,57.45,-2.76
"AB55","Aberdeen",340700,848600,57.52,-2.99
"AB56","Aberdeen",344800,865300,57.67,-2.92
"AL1","St. Albans",515800,206900,51.74,-0.32
"AL10","St. Albans",522200,208300,51.76,-0.23
"AL2","St. Albans",515100,203800,51.72,-0.33
"AL3","St. Albans",512400,210100,51.77,-0.37
"AL4","St. Albans",517700,209500,51.77,-0.29
"AL5","St. Albans",513600,214400,51.81,-0.35
"AL6","St. Albans",524200,216300,51.83,-0.19
"AL7","St. Albans",525100,212500,51.79,-0.18
"AL8","St. Albans",523500,213200,51.80,-0.20
"AL9","St. Albans",524400,206700,51.74,-0.19
"B1","Birmingham",406300,286800,52.47,-1.90
"B10","Birmingham",410100,285800,52.47,-1.85
"B11","Birmingham",409600,284100,52.45,-1.85
"B12","Birmingham",408000,284700,52.46,-1.88
"B13","Birmingham",408300,282100,52.43,-1.87
"B14","Birmingham",407600,280000,52.41,-1.88
"B15","Birmingham",405200,285400,52.46,-1.92
"B16","Birmingham",404500,286500,52.47,-1.93
"B17","Birmingham",402700,284800,52.46,-1.96
"B18","Birmingham",405200,288200,52.49,-1.92
"B19","Birmingham",406500,288800,52.49,-1.90
